image_id,labels,transcriptions
596,0,MP Mc X 2d She: Un phone konjam kudu Intha She: Ellarum Gallery Whatsapp ku dhana security lock poduvanga nee ennada Twitter ku potu vachiruka. Lonely Memes_Official m w Me
73,0,Dharshan Just now Dad Innu ethana naaliki veetala thanda sooru thinna pora ~Ellam oct 19 vera dhan #dharshanmc DX 9
299,0,Sanjay Krishna Just now Me spamming my stories with vintage raja song followed by a dark meme followed by a normie gubeer meme followed by a racist meme Viewers Dei enna sequence daa ithu [oILDyIEO
554,0,Muthu Kutti Just now *Phone pay no cash back* *Gpay with better luck next time* #muthumc /[76- ^0455
1406,1,Suda Suda Kanfiya Adichuwfila Uthuga Nakka Ready ah iruke
325,0,Muthu Kutti Just now In stand up call Me : Today had a call with Manager/TL : antha call la nee enna pesuna enna nadanthuchu nu naa kekala Task ah mudichia mudikalaya atha mattum sollu #muthumc
577,0,Dharshan Just now When married mappilai went to play cricket (Sunday) His wife and her family dharshan _ mc 0-= LEVEL MEME$ = VER^ LEVEL
1045,1,He : சாப்டியா !! She : இல்ல லேட்டாகும் ! He : ஏன் ? She : கல்யாணத்துக்கு அப்ரம் நீ வேல முடிஞ்சி லேட்டாதான வருவ அதான் இப்ப இருந்தே பழகிக்கலாம்ன்னு !!
316,0,Muthu Kutti Just now Life tha happy ah biscuit aachu happy happy sapduvom #muthumc PaசLE Happg Choco Chip pola Happg Cookies
1769,0,"BooK 'மேடம் கணவனுக்கு பணிந்து நடக்கும் பெண்கள் அப்படிங்கிற புத்தகம் இருக்கா?"" ""காமெடி மேல்மாடியில் ுக்கு சார்"" Shop புக்ஸ்"
386,0,When someone says un handwriting azhaga irukke Hey LEVEL [#[5 = = VE;^ LFVEL ஸ
350,0,Muthu Kutti m ~when itis weekend Roomates namma ellarum avana thaniya vitu ooruku poitom paavam avan matum thaniya irupan da Yaaru avana. paduka extra pillow kidachuchu nu Santhoshama than irupan #muthumc 'OUICU HDDE7
1040,1,உன் கூட பொண்ணுங்கலாம் Marriage பண்ணி புருசன் கூடவிளையாடிட்டு இருக்காளுக. நீஇன்னும் என்னய Block பண்ணி விளையாடிட்டு இருக்க #jegamc Me yVUE ACON  EX படிச்ச
72,0,After watchingAre youokay baby movie 0 / don't know what /'m going to do! NLIHL = Gaa Ph Livin together lairuka vendiyadhu. apro feel panradhe indha generation ku velaiya pochi.
36,0,Dhanush kuaduthahit movie yairukum
1235,1,in Parents Meeting *girls Mom இந்த மிஸ் சொல்றத கேளுடி அப்பதான் ஸ்டேட் பர்ஸ்ட் வர முடியும் !)0| Hidh Dad இந்த தருதலைய பள்ளிகூடத்தில இருந்து நிப்பாட்டிருங்க மேடம் Boys
1569,1,*She (Foodie) ^1 Nan unkuda 1 OO varusam vazhanum arun mட AIL_ C IToN *me Mavale nee sapdura junk food ku inum 1O varusam thaanduva nee.
770,0,GS சEngland 3 AAus Actinglunaiye minjirvaan
332,0,Muthu Kutti Just now ~salary credited கடன் கேட்பவர்கள் Hi macha Salary credit aana ivanuku epdi tha theriuthu nu theriyalayae crt ah vantharangalae #muthumc
895,0,Got Window seat. gonna enjoy my journey. VRRZO After 1O mins *stranger Enakkune varuveengala da?? v16|6 6l6
1050,1,EX : அடுத்த ஜென்மம்னு ஒன்னு இருந்தா நீயும் நானும் மறுபடியும் பொறந்து லவ் பண்ணனும் டா Me : எதுக்கு அப்போவும் என்னலவ் பண்ணிட்டு கடைசில எனக்கு விபூதி அடிச்சிட்டு இன்னொருத்தன் கூட போகவா
1468,1,*That Publicuty Paithiyam Me நீஇப்போஎக்ஸாம்எழுதுறதுக்கும் மாலையை கூட கலட்டாம ஃபோட்டோ எடுக்குறதுக்கும் என்னசம்பந்தம்!?
178,0,Me after activating Microsoft apps without product Thimuru venuma thimuru iruku Gethu venuma iruku Garvam venuma adhuvum irukku & key gethu LEVFL WEME5 = VE*^ L[VFL
1763,0,விளம்பர செய்யும் பொண்டாட்டி செய்யும் போது லேடி போது asa
916,0,CRAZYMEES DOTHJIITH PASS செய்யப்பட்டபோது @27 DG CRZYLE I2THIPASS செய்யப்பட்டபோது
8,0,When your office crush is on sick leave WE4 5 01 today L[VEL = LFV[- mr
268,0,"Sneak peak of Bakasuran ! Movie is Running succesfullyin theatres பIL""ா- Ivalo raw vana revenge story tamil cinema la Pathu romba naal aachu"
1167,0,Scooty தெரிஞ்சாபோதும் dads little princess நம்ம Dads Little Princess அஹகைலயே பிடிக்க முடியாது. ஓட்ட
203,0,Muthu Kutti Just now Me after scoring marks Ipo amma vanthu naa saami kumbita naala tha nee pass panniruka nu solluvangha paarungha #muthumc good
209,0,When all of your friends make plans continuously and you don t have money to join them LEVEL WEWE$ = = LEVEL
349,0,Muthu Kutti Just now LOKI na : dont miss the first 1 Omins in LEO office ku late ah pogura me Poi sol na. naa yarunu ellaruku nirubhikira neram ithu #muthumc m Daily
241,0,When you are in depressed Frnd: Enna macha jolly ah iruka polap unukuennapa and etc
84,0,knew that are beautifulhandsome But naan nalla ve illa enaku romba inferiority complex and insecurities irukku My mind Iட They they they LEVEL MEWES  = = = LFVEL
1212,0,"வாட்ஸ் அப் இல்லாத காலத்துல வாசல் படில உட்கார்ந்து 0ட55 மீ் ஸு 9 தஞ்சை பாலோ பொம்பளைங்க இப்படித்தான் ""குரூப் சாட்டிங்"" பண்ணிட்டு இருந்தாங்க 43500"
402,0,Kousik Karthikeyan Ckousik23 #viduthalai Extended version is even better than the theatrical version The narrative itself changes Wonder why didn t show this version in theatre =viduthalaiPart1 AViduthalaiOnZEE5 *Director's Cut they
1208,1,எங்கிருந்தாலும் வாழ்க மீமாண்டி
849,0,ஸ Marriage Photography Epadi Irukum Pa WUC AIU WEAB Yagappa Photography Page Poi Paru
1649,0,NORMAL BROTHERS AND SISTERS RELATIONSHIP HELL QUEEN MEMES ME AND MY BROTHERS RELATIONSHIP hanmu MG ME MY BROTHER IDHELLAAM NEE KANAVULA KUDA NENAIKA KUDATHU
312,0,Anurag K. Qanuragk. Feb 19 #Bakasuran Hearing good word of mouth for this movie in South Congrats my friend @nattynataraj & Dir @selvaraghavan RUNNING s&&NSIGY SUCCI FULLY IN THEATRES IN THEATRBS P1 wடh அருந்துதப் டடஜ்நவத்திர்பு பப்சாசறு Namma Padam Pesanum
1516,0,"ஆடி மாத ""தற்காப்பு கேடயம்"" யாயிருகய .150 """
1689,0,.64 Akka Amma ENGINEER PDSTU Thangachi nanbi *crush mamaponnu Anni granny
480,0,Ramzan vandhutta podhum hello makkale nu camera va thookitu Mannady ku kelambi vandhurraanunga LFVEL MEME$ = = VE+^ LEVEL
1385,1,CeRani IooVenamOa OzhungaBendoKaila Sommakalub SareaubPudingaKa )O Def Pothummmm POF
1358,1,Me Seekarama vaa d romba mood ah iruku Bestie Daii jetiya kalatavadhu time kudra apdiye vaa nakkuva Trollmy bestie Me Seri kalatu Bestie Ssshhhh aaahh apdidha nalla nakku da aahahhh(
579,0,Yaara neeenga koil ku vandhu thoongitu irukinga mo vishal_ sammy _
113,0,Dei enna da shave panitu vara sonna apdiye vandhurukka He When he is innocent When she is innocent ~ 6VGL
1044,1,GLIS Jhourlterp Boys 5mnlter ; Mov sapadu ready ah. Qteam cheemms
1472,1,DuZzy cat Aunty teen vibrator ilanu fone ah vibrate mode la use panava di intha Aunty oGrid potu
1269,1,காலையில எழுந்ததும் காபி போட்டியா லன்ச் என்னபன்ன போரே நைட்டுக்கு என்ன சமையல்னு நொய்யி நொய்யினுட்டு கொப்பமவனே கட்டிட்டா பெரிய வெண்ணைணு நினைப்பு தாலி
1777,0,dailyhunt Google Play சரக்கு அடிச்சிட்டு பொண்டாட்டிய போட்டு அடிச்சா அவன் கிராமத்துகாரன் Hlwashule பாசா பொண்டாட்டிக்கிட்ட அடி வாங்கிட்டு போய் சரக்கு அடிச்சா அவன் நகரத்தான்
884,0,DURING EXAM TIME #FRIND2 #FRIEND 1 ஊrபn MACHAN NA 5 OICLOCK IANIGTFபUA ELUNDHU PADICHAN DA THOJGAMARADOHANDA -~905 ?ueen~ #MEWHO WAKESUPAT SA5AMIANDICONES TOSCHHOQLATOAM Dol9e மcemB
756,0,Dai Ivan edho soldraan daa ennanu kelunga daa odachi Packolama?
173,0,Mathagam on Disney+ Hotstar Mathagamseries la manikandan Pattaiya kelapitaru
572,0,Maanadu VIKand next willbe Pathu Thala Growth ofstr over the years
58,0,Vasanth Karthik 2 minutes ago School Class leader sir ithellam 35 keela edutha pasangaloda paper sir Sir ivanungala lam enna than pandrathu Class leader nyayama paatha parents ah koopdanum Sir apo kooptu vara sollidu. days
1094,1,5uS9 5167 10[ 00 Dailythanthi ஹிஜாப் ந்திருக்கும்போது நான் நானாக இல்லை ஈரான் செஸ் பொண்ணுங்களுக்கு தட்டா எந்த கடவுள் வீராங்கனை சொல்லுச்சு  ஐஸ்வர்யா ராஜேஷ் அதிரடி #SaraKhadem # HijabProtest Dailythanthi கேள்வி . See more இநத அரை வேக்காட்டை என்னை வப்ப்ப போன்ற மானங்கெட்ட வந்து கும்பிடுன்னு எந்த கடவுள் வளின் பேச்சு தான் ஹிஜாப் சொல்லிச்சி. எதிர்ப்பு Lke Puply 1?7 Like Raply amie0 + னக்கு இப்பதான் தோனுதாடி என்பது சிலர் Like Peply நினைப்பதுபோல் நேர்மையான பெண் ஒழுக்கமான பெண் என்பதை மட் டம் காட்டுவதற்காக Andhamaadhari naatkalil pengal அல்ல padum avasthai solli :heriya vendiyadhillai Moodikitiu irukkalaam ஆண்களின் தப்பான s9m Le Reply பார்வையிலிருந்தும் கற்பனையிலிருந்தும் நீஉன் தலையெழுத்து முடிவுக்கு ஆண்களையும் தடுத்து கொண்டு வர நல்ல விஷயம் தான் ஹிஜாப் அணிந்த பெண்ணையும் விரைவில் என் ஐயப்பன் க்கு பாதுகாத்து குழப்பமில்லாத பாடம் புகடுவார் சாமி சரணம் அச்சமற்ற அமைதியான சமூகத்தை அணி ஜாப் ஹறி
873,0,நம்மளோட குட்டி நாய கூட்டிட்டு பக்கம் போகும்போது My Puppy என் முதலாளி இருக்காரு ப்ப வாங்கடா அரசயல்பசாதே! இங்கு மது பிருந் உபாறு தெரு
169,0,The concept video from Irugapatru team Idhe mariAvanga Bf/Gfkuda indhagame aadravanuku lifetime settlement ra Gap
1405,1,She unna kalyanam pannikitta enakku vazhka full ha Kenji oothuviyada வத்தி pora varaikkum oothuven di..
560,0,Subash NS 2h Hotel ல chutney keka maten bro conductor கிட்ட சில்ர keka maten bro Thanimai ய virumburavan peru than da introvertu. unna mari tharkuri da யா irukavan peru illa A'
1597,0,"மயோசைட்டிஸ் நோய்.. படுக்கையில் இருந்தே எழ முடியாமல் தவிக்கும் சமந்தா..! JOV 30, 2022 வயசான மாதிரி இருக்காரு அஜீத் கூட நடிக்க மாட்டேன் னு சொன்னவ தானே நீ"
401,0,batman is alive 2:10 am 99 8 GIPHY 2:15 am Any
1474,1,VIPER MEMLZ IRUKI EDHOUIAIRUKU
1613,0,கில்லில திரிஷாவ லவ் பண்ணதும் அபியும் நானும் படத்துல திரிஷாவுக்கு அப்பாவா நடிச்சதும் ஒரே ஆளா.
283,0,Night ana thookam varudho ilaiyo
212,0,Dharshan Just now Oru naaliki 5 time adichum 6th time salikama adikiran paaru avan dhana da unmaiyana Elandhaari paya
708,0,When my friend finally loose the v*rginity harshan _ Elai muthu nee aalu dham lae UEV6( _641$ =
541,0,Mc Muriel Just now negative peoples ah vittu thoorama vanthu paaru Life is worth living nu purinjippa #mc_muriel
1395,1,Helo En Purushan Ungla New Year Party Kaga Veetuku Kupta Enga Veetu Bathroom La Bittu Padam Paathu Kai Adichitu Irukinga ADULIS_ SPOT Sari Kenjathinga Itna Yartaiyum Sollamata Athukaga Intna 9inch Sunniya Sappi Kanjiva Kudichikaren Ok Va Zip A Kalatunga Sikiram
1028,1,de En ponnu amaidhiyana ponnu kuninja thala kooda nimara mata - Reality zero memes  ச Eleiilsuku. W
878,0,தர்பபோதைய _:uV 18/08/2021 எய்தி வன்கொடுமை தடை சட்டத்தில் கைதான நடிகை மீரா மிதுன் மற்றும் அவரது ஆண் நண்பர் கோரி சென்னை முதன்மை அமர்வு நீதிமன்றத்தில் மனு தன்னைப் பற்றி அவதூறாக செய்தி பரப்பியதற்கு கண்டனம் 3 தெரிவிக்கும் வகையில் பேசிய வாய் தவறி குறிப்பிட் சமுதாயத்தை பற்றி பேசியதாக மனுவில் தகவல் பல படங்களுக்கு கால்ஷீட் கொடுத்துள்ளதால்
561,0,Me pretendingtothink when theexaminersees
684,0,Dharshan Just now Evlo kastam vandhalum. .Saraku g@nja cigrate adikama irukan paaru avan dhan da Elandhaari paya
656,0,~ Nanae ennaikachum dhan padikilam nu mudivu edukuren nu pathu slow va irukiyae da dharshan _ 00 Wylptp Gcegle LEVEL MEME$ _ Apo = VE* ^ LEVEL Pla
1224,1,கணவன்மார்களின் பரிதாபங்கள் ம னைவி (கோபமாக ): யார் முட்டாள் ? நீங்களா ? நானா ? கணவன் அமைதியாக ): எல்லோருக்குமே தெரியும் நீ புத்திசாலி என்று. ஆதலால்;கண்டிப்பாக நீ ஒரு முட்டாள் கணவனை தேர்ந்தெடுத்திருக்க மாட்டாய் . கோடிக்கணக்கான தமிழ் மக்களுக்காக. டவுன்லோட் Way2Online
32,0,+021~55 :=01^ I1 ! $` [ 0/1 J=_ர=னனி  ~G அ்~ய0191_ EMIAIXKAL SEL VAN ~02=0=0=7 ஈU5IE Co Kolutunga da..!
1498,0,லகத்தமிழ் மங்கையர் மலர் மனைவி உங்கள் மனைவியை ஒரு போதும் வெறுத்து விடாதீர்கள் ஏனென்றல் உங்களுடன் எவ்வளவு சண்டை போட்டாலும் உ ங்களை அதிகமாக நினைத்து கொண்டிருப்பவள் அவள் மட்டும்தான் -லகத்தமிழ் மங்கையர் மலர் ஒருத்தி
172,0,Muthu Kutti 6m En da insta la pesura ipo Enoda WhatsApp last seen ai enoda aalu paarthu kondu irupal. #muthumc frnd *his bestie . ' *my Aovc
860,0,*varun *Thamarai Ethu yosikathinga coin an na kandu pudichu vachu irukane enna manushan ya..!!
1088,1,wew beaury app *girl bestie Puthusa vontha beauty app Ia eduthothu da Epdi iruku girl bestie that App illamalea ipdi +ha ma irupa 6y
145,0,Muthu Kutti Zm *|f you want to irritate someone * Dont think too much Just use this K Mm #muthumc UIR ஈமி எதுக்காகசொல்றேன்னா? அதுக்காகசொல் றேன்
371,0,"Call panni edukalana thirumba call pannama msg panni enna da call panirundha nu ketutu ""I miss you guys nu status poda kudadhu 94 4 LEVEL MEME$ : = LEVE1"
781,0,Kalli Rani dindigul_ junction Yaarukachum Cartoon character Enaku varum Kamal Mela Crush varuma Rajini ??
1104,0,~மாவீரன் படத்துல வர குரல் மாதுரி 24 மணி நேரமும் எனக்கும் கேட்க்கும் அப்டியா யாரோட வேற யாரு என் பொண்டாட்டி குரல் தான் நொய்யி நொய்யினு கிட்டே இருப்பா *** குரல்
1402,1,uammu 0 unakkuboobsirukkaillaya ummu mIட valarumavalaratha tammu mIட mambalaamavenama
551,0,Ruturaj maari oru player lam ella team kum kadaikadhu rare piece chetiyar vishal_sammy_ 1t .?13-`! C:்
148,0,vC harshan _ *2023 ~4+~ 0..8: Ennainga ivan ivlo fast ah poitu irukan LE VE1 MEME5 = = ERY LEVEL
257,0,Muthu Kutti 8m When am taking leave for my Grandmas death Sir : unmai ah? Me : athuku mela unmai ah sollanum na sethu pona en paati tha uyiroda vanthu sollanum #muthumc >0988`
1653,0,நகரப்பேருந்துகளில் மகளிர் இலவசமாக பயணிக்கலம் நாளை சாதாரண கட்டண் நகரப்பேருந்துகளில் மகளிர் இலவசமாக பயணிக்கலாம் முதலையரா எஸ்டாலிள் From Tomorrow Locol Buses be like 8 AIA முதல்
535,0,mட Ipo nee pay pannu aprm gpay panren nu solluvan 4 harshan mt Nammbadha LEVEL LEME$ = LEVEL
931,0,TL Dood (ID REFERENGE Nalaiku Nama team ku oru puthu ponnu join pandraga And finally came to know that she is married
753,0,Mathagam 2 now streaming on Disney + Hotstar Villainism ellam bayangarama iruke nae part
365,0,Parithaban *Non IT Background *LOW CGPA Ungaluku Ellam Epadi Da High Paying IT Jobs Kedachidhu Ellam Bio La lruka Free Counselling Attend Panni Dhan Saab
771,0,WiNk @Whaamen Knjo naliku pesama avoid pana avangale vandhu pesavanga nu soluvanga Nambadhaa IIUNHR PEJI
1324,1,Aaahhhhh enna anna videos Ia vara mariye iruku thangachi en vaayum kaiyum pathathu polarkey
1419,1,when 1 flash my d ck +o ne ighbour aunty Weighbourஸunly enodi un pulaiku p  lu ivlo perusa iruku shabba Rehees +uவப' +uslul Ihambi uncle ponathuku apram veefuku vaa korumbu saoplu romba noal aachu inaiku unna vachuthan sopoonum Adiye
991,0,He : ஏய் கேப்டன் டி She ~9 தூக்கிட்டு வாயா நான்
490,0,Me looking at how miserable my life has become in past few years because of decisions 1 made
724,0,பொங்கல்க்கு கொஞ்சம் பாத்து இ டோலி ஏன்??? வெல்லம்னு நினச்சி எறும்பு கடித்துவிட ATHUEPDIMEMES எப்படி இசை வார்த்தை கூறி மயக்கினேன் பாத்தியா ருங்க போது
1116,0,Chi Ku Chiku is at Camp Road 15h Old chats She Job kedacha po illana Enoda salary vechi run panikalam ^01^பL 2தகை பஸபால் குன்னூ அந்த காலத்துல இந்த எவ்வளவு famous uh
1209,1,அறியாவயசு அரித்தவயசு மீமாண்டி அனுபவ மனசு
1121,1,Wew married Doli Status Doli~i miss my husband Me~ RIP. னிமே Night நா வரேன் Doli~டேய் என் புருசன் கடைக்கு போய்ருக்கான்டா .
812,0,when mosquitos bite me howltreat them சட்டங்கள்கடுமையானால் தான் குற்றங்கள்குறையம்
876,0,Someone Ippa unaku 8 vayasu neenna pannitu iruntha VARIKKI MEMES me Me ABCD உங்கப்பன்தாடி nu paatu paaditu irunthen Na
242,0,Muthu Kutti Just now 8 That one girl in office Niruthungha da avala solli niruthungalae da hasini nu ninachutu loosu thanama enna ennamo panitu iruku #muthumc /7
1549,0,நீயும் உன் மாமியாரும் ஒரே வீட்டுல இருக்கீங்களே சமையல் யார் பண்ணுவா ? ஒரு நாள் என் கணவர் பண்ணுவாரு மறு நாள் என் மாமனார் பண்ணுவாரு.
52,0,2023 vishal _sammy _ Anga paaru vandhu 2 masamkoodaaagala athukula avana verukuraalavuku konduvantan
917,0,30:49 IM LEAVING PAMI. PRANK GONE WRONG SUHAIL - VLOGGER 2.1M views 4 months ago KEரJ பS  IVV எனக்கு ஒரு ஆச்சரியம் எப்படி ஒரு மனிதன்ஓரு பெண்ணைஇத்தனை முறை prank செய்யமுடியும்
89,0,Muthu Kutti Just now * me thinking* Bathroom la irukum pothu 0 0} varamatainguthu Athuvae veliya kelambhura apo varuthu #muthumc wuni ND Bnavoni HD epdi??
138,0,Muthu Kutti Just now *When my akka ponnu is not eating food* Me : Kathiresaaa main(TV) switch kitta pore #cocomelon #muthumc 0=1
229,0,வீட்டுல ஒரு வேலை சொன்னாலே செய்ய மாட்ட உனக்கு எவன்கம்பெனில வேலை குடுத்தது. Mom
1562,0,பெண்கஸ் மகவும் அமைதியானவரகஸ் தூங்கும்போது மட்டும்
1553,0,மனைவி நேற்று பார்த்த படத்தை பாத்து எனக்கு சிரிச்சு சிரிச்சு பாதி உயிர் போயிடுச்சு flalwzsmle யாரோ கணவன வாடா செல்லம் ன்னோரு தடவ இன்னைக்கு அழைச்சுட்டு போறேன்
276,0,Dharshan Just now Recent buff :Selvaraghavan to direct 7G rainbow colony 2 #dharshanmc dharshan _ Raghavan don t LEVEL MEMES = = VE^ LEVEL
952,0,mt Machan kaasu suthama illa da. 1O0 rooba iruntha kudu da. mc Ne ena da kaasu kudukurathu color prediction paniye easy ah earn panuven da. CCAN
739,0,Hatts Off Madam வாழ்த்துக்கள் மேடம் மரம் முறிந்து விழுந்ததில் உயிரிழந்துவிட்டார் என்று கருதப்பட்ட இளைஞரை காப்பாற்றி தக்க நேரத்தில் மருத்துவமனையில் அனுமதிக்க உதவிய சென்னை அண்ணா நகர் ஆய்வாளர் ராஜேஸ்வரி! வழக்கமா முறிக்கிற போலீசை தான் பாத்துருக்கோம். இப்போதா எலும்பு முரிஞ்சவங்களை காப்பதுற போலீசை பாக்குறோம் எழும்ப
1350,1,Aiyoo aail Kosu viqum pornu mutnam KuQU kotha da koosudhu # <odutveriqaw memex Ahhh daii sollile irruken morubadiyum morubadiyum mootham kudukurd.
1496,0,Instagram @i muiiIss ஐ பஸ் யூ ஒரு பொண்ணோட எதிர்பார்ப்பு உன்கிட்ட பருசா இல்லை நிட்ேதியான சாப்பாடு பாதுகாப்பான இடம் உன் வார்த்தைகள் ஏதுக்காவட் எந்த சூழ்நிலையலும் அவளை வட்டுக்கொடுக்காத உன அரவணைப்பு மட்டுb் தான் ஏதும் அன்பான
590,0,Koil pona peaceful ah irukum amadhiya irukum Me going to temple and its full crowd and noice LEVEL vishal_sammy_ LE VE[ MEMES = = ஈ
444,0,Seeing theekshana But he caught the ball below ball
639,0,Enaku adhu venum Mang
1257,1,LUXSIUOIO மீனுக்கு கெண்ட 519010 வாய மூட்றா புண்ட பேரு
334,0,muthu mc @muthu kutti Im Ella vishiyamum seekaro seiyala aana 2 vishiyatha mattum seekaro seiya mudiyathu Athu ennathu da?? Cigarette ? adikurathu adikurathu #muthumc
387,0,Muthu Kutti Just now Amma : en da chithappa ta kovama pesitu phone ah vacha Working me ma.. antha aalu ipo vanthu endoa 1Zth mark enna nu kekura ma. #muthumc
1243,0,மாமன் பையன் லவ் பன்னா வெளில மாப்ள வைக்கிறிங்க சரினு வெளில எவனையாச்சும் லவ் பன்னா மாமன் மகன வக்கிரிங்க என்னங்கடா உங்க பிரச்சனை Download Dailyhunt on Play Store பார்த்து கட்டி கட்டி
1098,1,Bestie online Oru unkitta chandrayan vanthuruchi di 8:46 PM Awww..nan Nila va 8:48 PM Illa vada sudura paatti 8:48 PM 70 valiya
33,0,LEVEL That one person asking permssion at home to go Ogt Whole gang LEVEL MEME$ = = VER^
1409,1,DAI ANNI BATHROOMLA WAIT PANDRAN KEZHA ELAM IRUKANGA MADIKU VA DA ORU LU PODU DA PLZ DA 3.0 ADIYA KEZHA ANNAN ENA PUDICHI MOOKA PODARAN ANNI NE IPATHAB K THI ARIPULA KUPUTU IRUKA MUDIYATHU ANNI SRI DAI ATLEAST ANNI VA PHONELA KARA POLA PESU DA ANNI K THILA VIRAL PODRAN ENALA MOODA ADAKA MUDILA DA ISSSH AHHH SBXY Siirss
1705,0,Ieshergill D000 happywomens dayamhappytol mmbe Ellamkudukamuyadlu senfor doods _ US sathishteetotaller
11,0,Happy valentines vishal_ sammy_ day
1766,0,மனைவி கோப்த்தை அளவுக்கு மீறி வெளிபடுத்தினால் alWmle சாம்பார் ரசமாகும் ரசம் வெசமாகும் மீது
1587,0,"ANESOME Awesome Machi MAC QAwesomeMachi ""பொம்பளனா அடக்கம் வேணும் அகம்பாவம் ருக்கக் கூடாது .. பொறுமை வேணும் போக்கிரிதனம் கூடாது  "" Legend #Kaipulla Translate Tweet ருக்க"
338,0,Muthu Kutti Just now After leaving office 0 TL -~ can you connect now regarding a critical issue? Romba dhooram poiten #muthumc mt
569,0,Unaku epadi da night shift la suthama thookam varama iruku Me throughout the night shift: vishal_sammy 30
1650,0,while watching santhosh subramaniyam movie VIUI cap +0~9 enakum hasini marii ponnu paru ma yen vitula oru irukurathu pathatha Opak loosu
